ID	Warning
b4425_del;U00096.3:1287065-1287236;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b1229_del;U00096.3:1287086-1287176;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b1230_del;U00096.3:1287243-1287328;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b1477_del;U00096.3:1552397-1552682;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b1987_del;U00096.3:2059963-2060914;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b1990_del;U00096.3:2062390-2063323;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b1990_del;U00096.3:2062390-2063323;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Low risk of miss target. 
b2210_del;U00096.3:2305107-2306754;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b2210_del;U00096.3:2305107-2306754;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Low risk of miss target. 
b2421_del;U00096.3:2538671-2539583;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b2532_del;U00096.3:2662582-2663323;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b2692_del;U00096.3:2818058-2818135;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b2693_del;U00096.3:2818197-2818274;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b2694_del;U00096.3:2818472-2818549;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b2695_del;U00096.3:2818552-2818645;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b2815_del;U00096.3:2947496-2947573;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b2816_del;U00096.3:2947606-2947683;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4664_del;U00096.3:3194765-3194825;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4666_del;U00096.3:3195140-3195200;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b3123_del;U00096.3:3270215-3270592;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b3273_del;U00096.3:3423579-3423655;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b3845_del;U00096.3:4027608-4028772;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b3903_del;U00096.3:4094722-4095982;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b3957_del;U00096.3:4153695-4154847;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b3957_del;U00096.3:4153695-4154847;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4078_del;U00096.3:4296435-4297125;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4108_del;U00096.3:4326398-4326734;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4164_del;U00096.3:4392471-4392547;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4165_del;U00096.3:4392582-4392658;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4379_del;U00096.3:4614679-4615543;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4379_del;U00096.3:4614679-4615543;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0061_del;U00096.3:65854-66550;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0228_del;U00096.3:247636-248134;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0321_del;U00096.3:338324-339743;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0331_del;U00096.3:348681-349572;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0337_del;U00096.3:356170-357454;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0352_del;U00096.3:373867-374881;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0354_del;U00096.3:376771-377311;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0483_del;U00096.3:508217-508559;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4514_del;U00096.3:736444-736699;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0705_del;U00096.3:736899-737961;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0744_del;U00096.3:780764-780840;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0746_del;U00096.3:781067-781143;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0771_del;U00096.3:803502-805764;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4419_del;U00096.3:1269167-1269275;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4420_del;U00096.3:1269322-1269389;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4421_del;U00096.3:1269702-1269810;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4422_del;U00096.3:1269857-1269923;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4423_del;U00096.3:1270237-1270345;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4424_del;U00096.3:1270392-1270460;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b1228_del;U00096.3:1286708-1286984;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b1228_del;U00096.3:1286708-1286984;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Low risk of miss target. 
b1476_del;U00096.3:1551337-1551991;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b1985_del;U00096.3:2058202-2059846;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b2209_del;U00096.3:2303904-2304393;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b2209_del;U00096.3:2303904-2304393;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b2691_del;U00096.3:2817783-2817860;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b2693_del;U00096.3:2818197-2818274;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b2814_del;U00096.3:2947386-2947463;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b2815_del;U00096.3:2947496-2947573;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b3051_del;U00096.3:3192863-3194525;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b3080_del;U00096.3:3228887-3231239;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b3244_del;U00096.3:3390582-3392028;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b3273_del;U00096.3:3423579-3423655;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b3594_del;U00096.3:3766336-3767179;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b3902_del;U00096.3:4093447-4094272;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4077_del;U00096.3:4294480-4295794;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4163_del;U00096.3:4392359-4392435;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4164_del;U00096.3:4392471-4392547;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4378_del;U00096.3:4613480-4614260;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4378_del;U00096.3:4613480-4614260;DHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
